"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Czechia","CZE","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.47639597850839","2.35343692900508","2.34980752012312","2.47119276413614","2.50952180800913","2.21497994762086","2.84975528228231","1.7658582346936","1.62288093824157","2.10006804220457","1.67898669166948","1.25416811825014","1.50807594511715","1.40323665428063","1.37693902520585","1.09610544925888","0.973827035074523","0.815082598918036","1.10434949987983","0.755302294734255","0.696863302133215","0.754064115558199","0.560205259206974","0.69481597798823","","1.11769060454825","0.732532238647437","0.386366777788972","",
"Germany","DEU","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.43766764114695","1.74672736526932","1.77602043538676","2.02910651975525","3.23794849095015","3.40213449511695","3.17616592929087","2.90343996357686","2.51810480771053","2.04244786620302","2.06505071111496","1.73798602028621","1.76209351856942","1.54150576936964","1.65387373834754","1.50751990640831","1.38061573034117","1.2579226551605","1.17014996858879","1.04962801070032","1.00461711982099","1.00198855901909","0.906679421123405","0.881560756003096","0.935697049688876","0.877944105181562","1.21705624004567","1.06255539689616","1.02946999693445","0.845855003949619","1.03367417381251","0.869903480321022","",
"Djibouti","DJI","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","26.3473755086507","16.6616681662168","","","","","14.4246026021983","","37.8062304667809","17.2823503996544","","","20.0420883856098","22.7638112310954","42.6384684262141","48.1600045327063","31.0278686674941","33.6388865528551","39.0162335400265","22.1978662301086","",
"Denmark","DNK","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.631021323788084","0.983210114164459","1.17566468162217","1.75675261546305","1.94387337764328","1.54827731891784","1.6202545684617","1.76519627735455","1.06450408578917","0.892125105030763","0.984857065042612","1.24103833381488","1.24028094242559","1.38562481661536","0.970027457373356","1.30055996538281","0.666054020311317","0.810586107180485","1.35046433465373","1.20487184453648","0.726793968264178","1.1211220478777","1.11579304270644","1.25388525301971","1.53311100846794","1.37000874261542","1.16415770103548","1.78897685081494","1.32574009877113","1.35336522070003","1.31157431544018","1.09884185502361","",
"Dominican Republic","DOM","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.8970839185763","41.7300965640437","40.6489796613411","45.7593760738612","44.9539735249632","45.7898188099514","45.5528573479306","40.8024723100348","","31.2972930444803","","27.266859395215","19.1216128045035","16.9097473617287","16.0989384842383","15.0701531004533","18.4514288974635","",
"Algeria","DZA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02653241482722","0.877596232943982","2.48797902684111","2.35705900964221","2.27180812357235","2.23268461838924","2.25627934947815","1.99017295798028","2.40366157177012","2.37806906481523","",
"East Asia & Pacific (excluding high income)","EAP","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
